epoch,step,train_loss,val_loss
0,304,,0.9041814804077148
0,304,0.9513039588928223,
1,609,,0.8912614583969116
1,609,0.9114049077033997,
2,914,,0.8826701045036316
2,914,0.9007150530815125,
3,1219,,0.8781920671463013
3,1219,0.8945139646530151,
4,1524,,0.8756990432739258
4,1524,0.8905433416366577,
5,1829,,0.8734185695648193
5,1829,0.8876257538795471,
6,2134,,0.8707883358001709
6,2134,0.8855352997779846,
7,2439,,0.8699726462364197
7,2439,0.8842082023620605,
8,2744,,0.8686816692352295
8,2744,0.8830225467681885,
9,3049,,0.8674337863922119
9,3049,0.8817441463470459,
10,3354,,0.8661484122276306
10,3354,0.8809817433357239,
11,3659,,0.8662865161895752
11,3659,0.8804373741149902,
12,3964,,0.865997314453125
12,3964,0.8794294595718384,
13,4269,,0.8642893433570862
13,4269,0.8786558508872986,
14,4574,,0.8636324405670166
14,4574,0.8782271146774292,
15,4879,,0.8634978532791138
15,4879,0.8778010010719299,
16,5184,,0.8626836538314819
16,5184,0.8771873116493225,
17,5489,,0.8629170656204224
17,5489,0.8768624663352966,
18,5794,,0.8620383143424988
18,5794,0.8765203952789307,
19,6099,,0.8617024421691895
19,6099,0.876056432723999,
20,6404,,0.8613640666007996
20,6404,0.8757727146148682,
21,6709,,0.8611274361610413
21,6709,0.8756166100502014,
22,7014,,0.8608632683753967
22,7014,0.875211238861084,
23,7319,,0.8600311875343323
23,7319,0.8746868371963501,
24,7624,,0.8591640591621399
24,7624,0.8744286298751831,
25,7929,,0.859323263168335
25,7929,0.8741395473480225,
26,8234,,0.8595776557922363
26,8234,0.874147355556488,
27,8539,,0.8589137196540833
27,8539,0.8737629055976868,
28,8844,,0.8583619594573975
28,8844,0.873609721660614,
29,9149,,0.858627438545227
29,9149,0.8734835386276245,
30,9454,,0.8589877486228943
30,9454,0.8733936548233032,
31,9759,,0.8586254119873047
31,9759,0.8731593489646912,
32,10064,,0.8580605983734131
32,10064,0.8727714419364929,
33,10369,,0.8575087785720825
33,10369,0.8726022243499756,
34,10674,,0.8574178814888
34,10674,0.8724474310874939,
35,10979,,0.8570436835289001
35,10979,0.8724246025085449,
36,11284,,0.85699462890625
36,11284,0.8723308444023132,
37,11589,,0.8572682738304138
37,11589,0.8718847632408142,
38,11894,,0.8565199375152588
38,11894,0.8718787431716919,
39,12199,,0.8565008640289307
39,12199,0.8718398213386536,
40,12504,,0.8563181757926941
40,12504,0.8715824484825134,
41,12809,,0.8561635613441467
41,12809,0.8714666366577148,
42,13114,,0.8556134104728699
42,13114,0.8713462352752686,
43,13419,,0.8563243746757507
43,13419,0.871376097202301,
44,13724,,0.855236828327179
44,13724,0.8711522817611694,
45,14029,,0.8560461401939392
45,14029,0.8710020780563354,
46,14334,,0.8553557395935059
46,14334,0.8708423376083374,
47,14639,,0.8548446893692017
47,14639,0.8706994652748108,
48,14944,,0.8545394539833069
48,14944,0.870393693447113,
49,15249,,0.8552863597869873
49,15249,0.8703492879867554,
