epoch,kl_loss,kl_weight,recon_loss,step,test_kl_loss,test_loss,test_recon_loss,train_loss,val_kl_loss,val_loss,val_recon_loss
0,,,,304,,,,,1.8140313625335693,0.16266584396362305,0.16266584396362305
0,1.1178909540176392,0.0,0.23419208824634552,304,,,,0.23419208824634552,,,
1,,,,609,,,,,0.6737062335014343,0.16376511752605438,0.16107028722763062
1,0.8743131756782532,0.003999995067715645,0.17024119198322296,609,,,,0.173738494515419,,,
2,,,,914,,,,,0.42476886510849,0.16393592953681946,0.16053783893585205
2,0.4798990488052368,0.00799999013543129,0.16769349575042725,914,,,,0.17153260111808777,,,
3,,,,1219,,,,,0.3300488293170929,0.16422027349472046,0.1602596789598465
3,0.35028061270713806,0.012000031769275665,0.16646692156791687,1219,,,,0.17067033052444458,,,
4,,,,1524,,,,,0.27953070402145386,0.16427955031394958,0.15980708599090576
4,0.28644007444381714,0.01599998027086258,0.16581133008003235,1524,,,,0.17039434611797333,,,
5,,,,1829,,,,,0.22589807212352753,0.1642327904701233,0.15971480309963226
5,0.24572010338306427,0.01999998465180397,0.16439735889434814,1829,,,,0.16931171715259552,,,
6,,,,1830,0.22501640021800995,0.181730717420578,0.1592290699481964,,,,
