d_loss,epoch,g_loss,gradient_penalty,step,test_d_loss,test_g_loss,val_d_loss,val_g_loss
,0,,,304,,,0.6807132363319397,0.7450373768806458
0.721206545829773,0,0.8643476963043213,0.8359980583190918,304,,,,
,1,,,609,,,0.6771425008773804,0.7521530389785767
0.7820509076118469,1,0.8697687983512878,0.8716855049133301,609,,,,
,2,,,914,,,0.693139910697937,0.7303085923194885
0.7823336720466614,2,0.8312781453132629,0.8827805519104004,914,,,,
,3,,,1219,,,0.689000129699707,0.7113531827926636
0.7829059362411499,3,0.7709820866584778,0.8943306803703308,1219,,,,
,4,,,1524,,,0.6925082802772522,0.686534583568573
0.7855181694030762,4,0.7425633072853088,0.9044843316078186,1524,,,,
,5,,,1829,,,0.6849831342697144,0.6977067589759827
0.7855597138404846,5,0.7431798577308655,0.9102429151535034,1829,,,,
,6,,,2134,,,0.6958635449409485,0.6649155616760254
0.7873964905738831,6,0.7427501082420349,0.9130077958106995,2134,,,,
,7,,,2439,,,0.6835216879844666,0.7147037386894226
0.7862467169761658,7,0.7540686130523682,0.9094536900520325,2439,,,,
,8,,,2744,,,0.687055230140686,0.6982048749923706
0.7858941555023193,8,0.7519095540046692,0.9053908586502075,2744,,,,
,9,,,3049,,,0.695624589920044,0.6582497358322144
0.7859935760498047,9,0.7466822862625122,0.9086611866950989,3049,,,,
,10,,,3354,,,0.6879973411560059,0.6687398552894592
0.7864113450050354,10,0.7327472567558289,0.9134694337844849,3354,,,,
,11,,,3659,,,0.6995441913604736,0.6576125025749207
0.7866117358207703,11,0.7264537811279297,0.917382001876831,3659,,,,
,12,,,3660,0.6997399926185608,0.6574019193649292,,
