d_loss,epoch,g_loss,gradient_penalty,sparsity_penalty,step,val_d_loss,val_g_loss
,0,,,,304,0.13437175750732422,2.706587076187134
0.31986144185066223,0,2.3648183345794678,0.7985302209854126,0.0029958062805235386,304,,
,1,,,,609,0.11864669620990753,3.066901206970215
0.27695199847221375,1,3.114147424697876,0.8045027256011963,0.0030845378059893847,609,,
,2,,,,914,0.10571503639221191,3.380906343460083
0.2692338824272156,2,3.4087188243865967,0.8069616556167603,0.0029930109158158302,914,,
,3,,,,1219,0.10528688877820969,3.581873655319214
0.26466020941734314,3,3.611876964569092,0.8094170093536377,0.0030612952541559935,1219,,
,4,,,,1524,0.09994322806596756,3.6857151985168457
0.2622445821762085,4,3.732558488845825,0.810472846031189,0.0031171042937785387,1524,,
,5,,,,1829,0.10194938629865646,3.713667869567871
0.26053300499916077,5,3.832383632659912,0.8109312057495117,0.003193450393155217,1829,,
